index,rssi,distance,floor,wall
7,-64,1,0,1
8,-59,1,0,1
9,-60,1,0,1
10,-60,1,0,1
11,-58,1,0,1
12,-58,1,0,1
13,-58,1,0,1
14,-58,1,0,1
15,-60,1,0,1
16,-62,1,0,1
17,-63,1,0,1
18,-62,1,0,1
19,-59,1,0,1
20,-57,1,0,1
21,-58,1,0,1
22,-58,1,0,1
23,-56,1,0,1
24,-57,1,0,1
25,-58,1,0,1
26,-56,1,0,1
27,-57,1,0,1
28,-57,1,0,1
29,-59,1,0,1
30,-59,1,0,1
31,-58,1,0,1
32,-67,1,0,1
33,-56,1,0,1
34,-55,1,0,1
35,-54,1,0,1
36,-57,1,0,1
37,-56,1,0,1
38,-56,1,0,1
39,-56,1,0,1
40,-59,1,0,1
41,-59,1,0,1
42,-57,1,0,1
43,-55,1,0,1
44,-53,1,0,1
45,-59,1,0,1
46,-58,1,0,1
47,-58,1,0,1
48,-57,1,0,1
49,-59,1,0,1
50,-65,1,0,1
51,-60,1,0,1
52,-58,1,0,1
53,-56,1,0,1
54,-55,1,0,1
55,-59,1,0,1
56,-59,1,0,1
57,-60,1,0,1
58,-61,1,0,1
59,-60,1,0,1
60,-61,1,0,1
61,-61,1,0,1
62,-61,1,0,1
63,-61,1,0,1
64,-59,1,0,1
65,-56,1,0,1
66,-56,1,0,1
67,-57,1,0,1
68,-53,1,0,1
69,-55,1,0,1
70,-55,1,0,1
71,-56,1,0,1
72,-54,1,0,1
73,-54,1,0,1
74,-53,1,0,1
75,-54,1,0,1
76,-54,1,0,1
77,-56,1,0,1
78,-56,1,0,1
79,-54,1,0,1
80,-54,1,0,1
81,-55,1,0,1
82,-55,1,0,1
83,-56,1,0,1
84,-58,1,0,1
86,-55,1,0,1
87,-56,1,0,1
88,-52,1,0,1
89,-55,1,0,1
90,-56,1,0,1
91,-56,1,0,1
92,-60,1,0,1
93,-65,1,0,1
94,-64,1,0,1
95,-60,1,0,1
96,-61,1,0,1
97,-60,1,0,1
98,-57,1,0,1
99,-59,1,0,1
100,-60,1,0,1
101,-60,1,0,1
102,-62,1,0,1
103,-61,1,0,1
104,-61,1,0,1
105,-60,1,0,1
106,-60,1,0,1
107,-59,1,0,1
108,-60,1,0,1
109,-60,1,0,1
110,-61,1,0,1
111,-60,1,0,1
112,-61,1,0,1
113,-61,1,0,1
114,-62,1,0,1
115,-61,1,0,1
116,-61,1,0,1
117,-61,1,0,1
118,-61,1,0,1
119,-59,1,0,1
120,-59,1,0,1
0,-47,1,0,1
1,-27,1,0,1
2,-48,1,0,1
3,-52,1,0,1
4,-26,1,0,1
5,-23,1,0,1
6,-27,1,0,1
7,-26,1,0,1
8,-26,1,0,1
9,-26,1,0,1
10,-32,1,0,1
11,-33,1,0,1
12,-32,1,0,1
13,-33,1,0,1
14,-28,1,0,1
15,-30,1,0,1
16,-51,1,0,1
17,-34,1,0,1
18,-33,1,0,1
19,-34,1,0,1
20,-33,1,0,1
21,-32,1,0,1
22,-47,1,0,1
23,-48,1,0,1
24,-47,1,0,1
25,-52,1,0,1
26,-57,1,0,1
27,-50,1,0,1
28,-51,1,0,1
29,-52,1,0,1
30,-52,1,0,1
31,-53,1,0,1
32,-52,1,0,1
33,-52,1,0,1
34,-56,1,0,1
35,-49,1,0,1
36,-47,1,0,1
37,-48,1,0,1
38,-48,1,0,1
39,-48,1,0,1
40,-48,1,0,1
41,-48,1,0,1
42,-48,1,0,1
43,-49,1,0,1
44,-48,1,0,1
45,-48,1,0,1
46,-49,1,0,1
47,-49,1,0,1
48,-49,1,0,1
49,-49,1,0,1
50,-49,1,0,1
51,-48,1,0,1
52,-48,1,0,1
53,-48,1,0,1
54,-48,1,0,1
55,-47,1,0,1
56,-48,1,0,1
57,-47,1,0,1
58,-46,1,0,1
59,-47,1,0,1
60,-47,1,0,1
61,-47,1,0,1
62,-47,1,0,1
63,-47,1,0,1
64,-47,1,0,1
65,-47,1,0,1
66,-50,1,0,1
67,-50,1,0,1
68,-51,1,0,1
69,-52,1,0,1
70,-48,1,0,1
71,-49,1,0,1
72,-53,1,0,1
73,-50,1,0,1
74,-48,1,0,1
75,-54,1,0,1
76,-57,1,0,1
77,-51,1,0,1
78,-53,1,0,1
79,-52,1,0,1
80,-50,1,0,1
81,-53,1,0,1
82,-53,1,0,1
83,-53,1,0,1
84,-51,1,0,1
85,-52,1,0,1
23,-73,3,1,0
24,-72,3,1,0
25,-76,3,1,0
26,-74,3,1,0
27,-80,3,1,0
28,-81,3,1,0
29,-81,3,1,0
30,-78,3,1,0
31,-78,3,1,0
32,-79,3,1,0
33,-67,3,1,0
34,-67,3,1,0
35,-63,3,1,0
36,-62,3,1,0
37,-61,3,1,0
38,-62,3,1,0
39,-62,3,1,0
40,-65,3,1,0
41,-65,3,1,0
42,-65,3,1,0
43,-66,3,1,0
44,-69,3,1,0
45,-75,3,1,0
46,-76,3,1,0
47,-70,3,1,0
48,-69,3,1,0
49,-70,3,1,0
50,-76,3,1,0
51,-70,3,1,0
52,-66,3,1,0
53,-67,3,1,0
54,-70,3,1,0
55,-72,3,1,0
56,-70,3,1,0
57,-68,3,1,0
58,-71,3,1,0
59,-72,3,1,0
60,-76,3,1,0
61,-76,3,1,0
62,-70,3,1,0
63,-71,3,1,0
64,-69,3,1,0
65,-71,3,1,0
66,-69,3,1,0
67,-70,3,1,0
68,-71,3,1,0
69,-69,3,1,0
70,-69,3,1,0
71,-69,3,1,0
72,-68,3,1,0
73,-69,3,1,0
74,-68,3,1,0
75,-68,3,1,0
76,-69,3,1,0
77,-68,3,1,0
78,-68,3,1,0
79,-68,3,1,0
80,-68,3,1,0
81,-69,3,1,0
82,-69,3,1,0
83,-69,3,1,0
84,-70,3,1,0
85,-69,3,1,0
86,-68,3,1,0
87,-67,3,1,0
88,-69,3,1,0
89,-67,3,1,0
90,-67,3,1,0
91,-68,3,1,0
92,-68,3,1,0
93,-69,3,1,0
94,-68,3,1,0
95,-70,3,1,0
96,-70,3,1,0
97,-71,3,1,0
98,-70,3,1,0
99,-68,3,1,0
100,-72,3,1,0
101,-71,3,1,0
102,-65,3,1,0
103,-68,3,1,0
104,-65,3,1,0
105,-66,3,1,0
106,-68,3,1,0
107,-68,3,1,0
108,-70,3,1,0
109,-71,3,1,0
110,-74,3,1,0
111,-69,3,1,0
112,-69,3,1,0
113,-70,3,1,0
114,-68,3,1,0
115,-69,3,1,0
116,-68,3,1,0
117,-67,3,1,0
118,-66,3,1,0
119,-65,3,1,0
120,-67,3,1,0
146,-79,6,2,0
147,-80,6,2,0
148,-82,6,2,0
149,-79,6,2,0
150,-80,6,2,0
151,-79,6,2,0
152,-80,6,2,0
153,-80,6,2,0
154,-80,6,2,0
155,-80,6,2,0
156,-81,6,2,0
157,-83,6,2,0
158,-83,6,2,0
159,-85,6,2,0
160,-85,6,2,0
161,-84,6,2,0
162,-84,6,2,0
163,-81,6,2,0
164,-82,6,2,0
165,-82,6,2,0
166,-83,6,2,0
167,-83,6,2,0
168,-84,6,2,0
169,-83,6,2,0
170,-81,6,2,0
171,-81,6,2,0
172,-81,6,2,0
173,-80,6,2,0
174,-80,6,2,0
175,-80,6,2,0
176,-80,6,2,0
177,-80,6,2,0
178,-81,6,2,0
179,-80,6,2,0
180,-82,6,2,0
181,-81,6,2,0
182,-81,6,2,0
183,-82,6,2,0
184,-82,6,2,0
185,-81,6,2,0
186,-81,6,2,0
187,-80,6,2,0
188,-81,6,2,0
189,-81,6,2,0
190,-80,6,2,0
191,-79,6,2,0
192,-79,6,2,0
193,-81,6,2,0
194,-85,6,2,0
195,-84,6,2,0
196,-90,6,2,0
197,-86,6,2,0
198,-84,6,2,0
199,-84,6,2,0
200,-91,6,2,0
201,-81,6,2,0
202,-83,6,2,0
203,-84,6,2,0
204,-85,6,2,0
205,-84,6,2,0
206,-85,6,2,0
207,-85,6,2,0
208,-85,6,2,0
209,-86,6,2,0
210,-85,6,2,0
211,-84,6,2,0
212,-86,6,2,0
213,-86,6,2,0
214,-85,6,2,0
215,-93,6,2,0
216,-86,6,2,0
217,-93,6,2,0
218,-88,6,2,0
219,-90,6,2,0
220,-94,6,2,0
221,-88,6,2,0
222,-88,6,2,0
223,-86,6,2,0
224,-87,6,2,0
225,-87,6,2,0
226,-87,6,2,0
227,-86,6,2,0
228,-89,6,2,0
229,-85,6,2,0
230,-78,6,2,0
231,-76,6,2,0
232,-80,6,2,0
233,-80,6,2,0
234,-80,6,2,0
235,-81,6,2,0
236,-80,6,2,0
237,-80,6,2,0
238,-81,6,2,0
239,-82,6,2,0
240,-85,6,2,0
241,-83,6,2,0
242,-83,6,2,0
243,-81,6,2,0
244,-82,6,2,0
245,-80,6,2,0
246,-81,6,2,0
247,-81,6,2,0
248,-80,6,2,0
249,-82,6,2,0
250,-81,6,2,0
251,-82,6,2,0
252,-82,6,2,0
253,-82,6,2,0
254,-83,6,2,0
255,-83,6,2,0
256,-82,6,2,0
257,-82,6,2,0
258,-82,6,2,0
259,-83,6,2,0
260,-82,6,2,0
261,-81,6,2,0
262,-80,6,2,0
263,-80,6,2,0
264,-80,6,2,0
265,-84,6,2,0
266,-82,6,2,0
267,-83,6,2,0
268,-82,6,2,0
269,-83,6,2,0
270,-85,6,2,0
271,-85,6,2,0
272,-85,6,2,0
273,-85,6,2,0
274,-83,6,2,0
275,-81,6,2,0
276,-84,6,2,0
277,-80,6,2,0
278,-81,6,2,0
279,-81,6,2,0
280,-81,6,2,0
281,-82,6,2,0
282,-83,6,2,0
283,-80,6,2,0
284,-85,6,2,0
285,-83,6,2,0
286,-82,6,2,0
287,-82,6,2,0
288,-84,6,2,0
289,-81,6,2,0
290,-80,6,2,0
291,-77,6,2,0
292,-75,6,2,0
293,-78,6,2,0
294,-77,6,2,0
295,-78,6,2,0
296,-78,6,2,0
297,-80,6,2,0
298,-80,6,2,0
299,-76,6,2,0
300,-78,6,2,0
301,-79,6,2,0
302,-79,6,2,0
303,-79,6,2,0
304,-80,6,2,0
305,-79,6,2,0
306,-79,6,2,0
307,-79,6,2,0
308,-79,6,2,0
309,-78,6,2,0
310,-75,6,2,0
311,-75,6,2,0
312,-75,6,2,0
313,-76,6,2,0
314,-79,6,2,0
315,-74,6,2,0
316,-75,6,2,0
317,-76,6,2,0
318,-76,6,2,0
319,-76,6,2,0
320,-75,6,2,0
321,-77,6,2,0
322,-77,6,2,0
323,-77,6,2,0
324,-77,6,2,0
325,-75,6,2,0
326,-75,6,2,0
327,-76,6,2,0
328,-77,6,2,0
329,-79,6,2,0
330,-79,6,2,0
331,-80,6,2,0
332,-82,6,2,0
333,-81,6,2,0
334,-89,6,2,0
69,-94,70,0,0
71,-95,70,0,0
82,-82,70,0,0
83,-80,70,0,0
85,-76,70,0,0
93,-80,70,0,0
95,-77,70,0,0
101,-78,70,0,0
107,-80,70,0,0
109,-79,70,0,0
118,-78,70,0,0
127,-76,70,0,0
128,-78,70,0,0
132,-84,70,0,0
134,-86,70,0,0
138,-85,70,0,0
141,-91,70,0,0
149,-87,70,0,0
151,-81,70,0,0
154,-81,70,0,0
156,-85,70,0,0
160,-79,70,0,0
162,-77,70,0,0
168,-80,70,0,0
175,-80,70,0,0
179,-79,70,0,0
182,-80,70,0,0
4,-112,300,0,0
8,-101,300,0,0
10,-102,300,0,0
11,-90,300,0,0
21,-91,300,0,0
24,-91,300,0,0
25,-91,300,0,0
28,-91,300,0,0
31,-93,300,0,0
38,-91,300,0,0
48,-95,300,0,0
50,-95,300,0,0
58,-96,300,0,0
62,-96,300,0,0
91,-97,300,0,0
95,-99,300,0,0
96,-93,300,0,0
97,-95,300,0,0
99,-95,300,0,0
109,-99,300,0,0
121,-96,300,0,0
132,-104,300,0,0
140,-93,300,0,0
142,-97,300,0,0
144,-107,300,0,0
147,-99,300,0,0
151,-95,300,0,0
157,-94,300,0,0
15:,-92,300,0,0
162,-96,300,0,0
163,-96,300,0,0
164,-93,300,0,0
168,-94,300,0,0
171,-97,300,0,0
176,-92,300,0,0
179,-92,300,0,0
183,-93,300,0,0
187,-93,300,0,0
191,-92,300,0,0
192,-92,300,0,0
196,-92,300,0,0
197,-91,300,0,0
211,-92,300,0,0
213,-94,300,0,0
214,-92,300,0,0
216,-96,300,0,0
217,-96,300,0,0
77,-49,1,0,0
79,-48,1,0,0
81,-49,1,0,0
93,-52,1,0,0
96,-51,1,0,0
97,-51,1,0,0
105,-51,1,0,0
109,-52,1,0,0
126,-51,1,0,0
127,-50,1,0,0
139,-52,1,0,0
143,-52,1,0,0
147,-53,1,0,0
149,-53,1,0,0
151,-34,1,0,0
8,-53,4,0,0
9,-53,4,0,0
17,-48,4,0,0
23,-51,4,0,0
26,-50,4,0,0
45,-50,4,0,0
54,-49,4,0,0
61,-58,4,0,0
64,-64,4,0,0
80,-59,4,0,0
84,-58,4,0,0
92,-63,4,0,0
98,-61,4,0,0
103,-64,4,0,0
11,-47,4,0,0
20,-48,4,0,0
29,-49,4,0,0
30,-50,4,0,0
32,-49,4,0,0
34,-54,4,0,0
44,-51,4,0,0
59,-49,4,0,0
64,-64,4,0,0
102,-59,4,0,0
